BID_AMOUNT=67;BIDDER_ID=89
BID_AMOUNT=91;BIDDER_ID=79
BID_AMOUNT=5;BIDDER_ID=72
BID_AMOUNT=33;BIDDER_ID=78
BID_AMOUNT=72;BIDDER_ID=71
BID_AMOUNT=63;BIDDER_ID=74
BID_AMOUNT=59;BIDDER_ID=84
BID_AMOUNT=89;BIDDER_ID=42
BID_AMOUNT=7;BIDDER_ID=99
BID_AMOUNT=42;BIDDER_ID=13
BID_AMOUNT=47;BIDDER_ID=26
BID_AMOUNT=26;BIDDER_ID=85
BID_AMOUNT=53;BIDDER_ID=85
BID_AMOUNT=33;BIDDER_ID=75
BID_AMOUNT=94;BIDDER_ID=10
BID_AMOUNT=9;BIDDER_ID=45
BID_AMOUNT=15;BIDDER_ID=30
BID_AMOUNT=96;BIDDER_ID=20
BID_AMOUNT=59;BIDDER_ID=70
BID_AMOUNT=87;BIDDER_ID=71
BID_AMOUNT=39;BIDDER_ID=66
BID_AMOUNT=51;BIDDER_ID=80
BID_AMOUNT=46;BIDDER_ID=99
BID_AMOUNT=26;BIDDER_ID=98
BID_AMOUNT=6;BIDDER_ID=80
BID_AMOUNT=82;BIDDER_ID=53
BID_AMOUNT=0;BIDDER_ID=79
BID_AMOUNT=73;BIDDER_ID=7
BID_AMOUNT=79;BIDDER_ID=90
BID_AMOUNT=33;BIDDER_ID=11
BID_AMOUNT=80;BIDDER_ID=79
BID_AMOUNT=24;BIDDER_ID=36
BID_AMOUNT=98;BIDDER_ID=36
BID_AMOUNT=28;BIDDER_ID=99
BID_AMOUNT=65;BIDDER_ID=71
BID_AMOUNT=48;BIDDER_ID=34
BID_AMOUNT=30;BIDDER_ID=14
BID_AMOUNT=3;BIDDER_ID=83
BID_AMOUNT=93;BIDDER_ID=67
BID_AMOUNT=35;BIDDER_ID=96
BID_AMOUNT=15;BIDDER_ID=80
BID_AMOUNT=15;BIDDER_ID=33
BID_AMOUNT=44;BIDDER_ID=18
BID_AMOUNT=22;BIDDER_ID=76
BID_AMOUNT=24;BIDDER_ID=35
BID_AMOUNT=91;BIDDER_ID=53
BID_AMOUNT=2;BIDDER_ID=14
BID_AMOUNT=80;BIDDER_ID=87
BID_AMOUNT=58;BIDDER_ID=63
BID_AMOUNT=51;BIDDER_ID=22
BID_AMOUNT=8;BIDDER_ID=56
BID_AMOUNT=45;BIDDER_ID=79
BID_AMOUNT=85;BIDDER_ID=96
BID_AMOUNT=43;BIDDER_ID=53
BID_AMOUNT=90;BIDDER_ID=71
BID_AMOUNT=28;BIDDER_ID=38
BID_AMOUNT=90;BIDDER_ID=83
BID_AMOUNT=25;BIDDER_ID=19
BID_AMOUNT=45;BIDDER_ID=90
BID_AMOUNT=44;BIDDER_ID=73
BID_AMOUNT=83;BIDDER_ID=68
BID_AMOUNT=46;BIDDER_ID=5
BID_AMOUNT=51;BIDDER_ID=48
BID_AMOUNT=79;BIDDER_ID=63
BID_AMOUNT=68;BIDDER_ID=50
BID_AMOUNT=60;BIDDER_ID=44
BID_AMOUNT=42;BIDDER_ID=52
BID_AMOUNT=21;BIDDER_ID=41
BID_AMOUNT=37;BIDDER_ID=92
BID_AMOUNT=27;BIDDER_ID=12
BID_AMOUNT=52;BIDDER_ID=15
BID_AMOUNT=22;BIDDER_ID=58
BID_AMOUNT=98;BIDDER_ID=72
BID_AMOUNT=59;BIDDER_ID=46
BID_AMOUNT=61;BIDDER_ID=99
BID_AMOUNT=91;BIDDER_ID=82
BID_AMOUNT=93;BIDDER_ID=92
BID_AMOUNT=11;BIDDER_ID=56
BID_AMOUNT=22;BIDDER_ID=87
BID_AMOUNT=89;BIDDER_ID=92
BID_AMOUNT=22;BIDDER_ID=15
BID_AMOUNT=17;BIDDER_ID=69
BID_AMOUNT=52;BIDDER_ID=32
BID_AMOUNT=61;BIDDER_ID=37
BID_AMOUNT=74;BIDDER_ID=82
BID_AMOUNT=79;BIDDER_ID=31
BID_AMOUNT=3;BIDDER_ID=36
BID_AMOUNT=76;BIDDER_ID=20
BID_AMOUNT=55;BIDDER_ID=1
BID_AMOUNT=82;BIDDER_ID=58
BID_AMOUNT=7;BIDDER_ID=26
BID_AMOUNT=15;BIDDER_ID=90
BID_AMOUNT=57;BIDDER_ID=45
BID_AMOUNT=2;BIDDER_ID=36
BID_AMOUNT=73;BIDDER_ID=66
BID_AMOUNT=76;BIDDER_ID=33
BID_AMOUNT=28;BIDDER_ID=57
BID_AMOUNT=72;BIDDER_ID=49
BID_AMOUNT=82;BIDDER_ID=47
BID_AMOUNT=91;BIDDER_ID=87
BID_AMOUNT=19;BIDDER_ID=26
